Removed Pin From Net: NetName=PACK+ Pin=C8-2
Removed Pin From Net: NetName=NetC1_2 Pin=C11-2
Removed Pin From Net: NetName=Batt_GND Pin=J7-1
Removed Pin From Net: NetName=PACK+ Pin=J7-5
Removed Pin From Net: NetName=PACK+ Pin=J10-1
Removed Pin From Net: NetName=GND Pin=J10-2
Removed Pin From Net: NetName=GND Pin=J10-S1
Removed Pin From Net: NetName=GND Pin=J10-S2
Removed Pin From Net: NetName=PACK+ Pin=R8-1
Removed Pin From Net: NetName=NetJ7_4 Pin=R9-1
Removed Pin From Net: NetName=NetJ7_3 Pin=R10-1
Removed Pin From Net: NetName=NetJ7_4 Pin=R20-1
Removed Pin From Net: NetName=PACK+ Pin=R20-2
Removed Pin From Net: NetName=NetC2_2 Pin=R21-1
Removed Pin From Net: NetName=NetC3_2 Pin=R22-1
Removed Member From Class: ClassName=Power Member=J10
Removed Member From Class: ClassName=Power Member=R20
Removed Member From Class: ClassName=Power Member=R21
Removed Member From Class: ClassName=Power Member=R22
Change Component Footprint: Designator=J7 Old Footprint=JST SM05B-PASS-TB New Footprint=MOLEX_532610671
Change Component Comment : Designator=J7 Old Comment=SM05B-PASS-TBT(LF)(SN) New Comment=532610671_1
Change component parameters: Designator = "J7" ("J7"); Footprint = "JST SM05B-PASS-TB"; UniqueID = "\UFFJLDKY" ("\UFFJLDKY")
Added Component: Designator=C6(CAP 1206_3216 - 0.8MM)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.1 µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "componentlink1description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "componentlink1url"; Value = "http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_8.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "componentlink2description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "componentlink2url"; Value = "https://www.digikey.com/en/products/detail/yageo/CC1206MRY5V9BB104/5884674"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "1206 (3216 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "lastupdated"; Value = "3/20/2023 7:15:05 PM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-30°C ~ 85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "1206 (3216 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
